Invoice_Id,InvoiceNo,ItemName,BF,GSM
1,KPM/2025-26/0001,KRAFT PAPER NATURAL 151-224,22,180
2,KPM/2025-26/0003,KRAFT PAPER NATURAL 151-224,18,180
3,KPM/2025-26/0003,KRAFT PAPER GOLDEN YELLOW 151-224,20,180
4,KPM/2025-26/0004,KRAFT PAPER GOLDEN YELLOW 151-224,20,180
5,KPM/2025-26/0005,KRAFT PAPER NATURAL 151-224,22,180
6,KPM/2025-26/0005,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
7,KPM/2025-26/0006,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
8,KPM/2025-26/0007,KRAFT PAPER NATURAL 151-224,18,170
9,KPM/2025-26/0007,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
10,KPM/2025-26/0008,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
11,KPM/2025-26/0008,KRAFT PAPER NATURAL 151-224,18,170
12,KPM/2025-26/0008,KRAFT PAPER NATURAL 151-224,20,170
13,KPM/2025-26/0009,KRAFT PAPER NATURAL 151-224,18,170
14,KPM/2025-26/0010,KRAFT PAPER NATURAL 151-224,18,170
15,KPM/2025-26/0011,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
16,KPM/2025-26/0012,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
17,KPM/2025-26/0012,KRAFT PAPER NATURAL 151-224,22,180
18,KPM/2025-26/0013,KRAFT PAPER NATURAL 151-224,22,180
19,KPM/2025-26/0014,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
20,KPM/2025-26/0014,KRAFT PAPER NATURAL 151-224,18,180
21,KPM/2025-26/0015,KRAFT PAPER NATURAL 151-224,18,180
22,KPM/2025-26/0015,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
23,KPM/2025-26/0016,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
24,KPM/2025-26/0017,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,140
25,KPM/2025-26/0017,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
26,KPM/2025-26/0018,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
27,KPM/2025-26/0019,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
28,KPM/2025-26/0020,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
29,KPM/2025-26/0021,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
30,KPM/2025-26/0022,KRAFT PAPER NATURAL 151-224,24,200
31,KPM/2025-26/0023,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
32,KPM/2025-26/0024,KRAFT PAPER NATURAL UPTO 150 GSM,22,150
33,KPM/2025-26/0025,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
34,KPM/2025-26/0026,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
35,KPM/2025-26/0027,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
36,KPM/2025-26/0028,KRAFT PAPER NATURAL 151-224,18,170
37,KPM/2025-26/0029,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
38,KPM/2025-26/0030,KRAFT PAPER NATURAL 225 ABOVE,20,230
39,KPM/2025-26/0031,KRAFT PAPER NATURAL 151-224,24,200
40,KPM/2025-26/0032,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
41,KPM/2025-26/0033,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
42,KPM/2025-26/0033,KRAFT PAPER NATURAL 151-224,22,180
43,KPM/2025-26/0034,KRAFT PAPER NATURAL UPTO 150 GSM,24,150
44,KPM/2025-26/0035,KRAFT PAPER NATURAL UPTO 150 GSM,24,150
45,KPM/2025-26/0036,KRAFT PAPER NATURAL 151-224,18,180
46,KPM/2025-26/0036,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
47,KPM/2025-26/0037,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
48,KPM/2025-26/0038,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
49,KPM/2025-26/0038,KRAFT PAPER NATURAL 151-224,18,170
50,KPM/2025-26/0039,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
51,KPM/2025-26/0039,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
52,KPM/2025-26/0040,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
53,KPM/2025-26/0041,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
54,KPM/2025-26/0043,KRAFT PAPER NATURAL 151-224,18,180
55,KPM/2025-26/0044,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
56,KPM/2025-26/0045,KRAFT PAPER NATURAL 151-224,18,200
57,KPM/2025-26/0045,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
58,KPM/2025-26/0046,KRAFT PAPER NATURAL 151-224,24,200
59,KPM/2025-26/0047,KRAFT PAPER NATURAL 151-224,24,200
60,KPM/2025-26/0048,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
61,KPM/2025-26/0049,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
62,KPM/2025-26/0049,KRAFT PAPER NATURAL 151-224,18,180
63,KPM/2025-26/0050,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
64,KPM/2025-26/0050,KRAFT PAPER GOLDEN YELLOW 151-224,22,180
65,KPM/2025-26/0050,KRAFT PAPER GOLDEN YELLOW 151-224,24,180
66,KPM/2025-26/0050,KRAFT PAPER GOLDEN YELLOW 151-224,28,180
67,KPM/2025-26/0051,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
68,KPM/2025-26/0051,KRAFT PAPER NATURAL 151-224,24,200
69,KPM/2025-26/0052,KRAFT PAPER NATURAL 151-224,24,200
70,KPM/2025-26/0053,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
71,KPM/2025-26/0054,KRAFT PAPER NATURAL UPTO 150 GSM,22,150
72,KPM/2025-26/0054,KRAFT PAPER NATURAL 151-224,22,180
73,KPM/2025-26/0056,KRAFT PAPER NATURAL 151-224,18,180
74,KPM/2025-26/0057,KRAFT PAPER NATURAL 151-224,20,170
75,KPM/2025-26/0058,KRAFT PAPER GOLDEN YELLOW 151-224,22,180
76,KPM/2025-26/0059,KRAFT PAPER NATURAL 151-224,18,170
77,KPM/2025-26/0060,KRAFT PAPER NATURAL 151-224,24,170
78,KPM/2025-26/0061,KRAFT PAPER NATURAL 151-224,20,170
79,KPM/2025-26/0061,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
80,KPM/2025-26/0062,KRAFT PAPER GOLDEN YELLOW 151-224,22,180
81,KPM/2025-26/0062,KRAFT PAPER GOLDEN YELLOW 151-224,20,180
82,KPM/2025-26/0063,KRAFT PAPER NATURAL 151-224,20,180
83,KPM/2025-26/0063,KRAFT PAPER NATURAL 151-224,24,170
84,KPM/2025-26/0064,KRAFT PAPER NATURAL 151-224,18,180
85,KPM/2025-26/0065,KRAFT PAPER NATURAL UPTO 150 GSM,24,150
86,KPM/2025-26/0066,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
87,KPM/2025-26/0066,KRAFT PAPER NATURAL 151-224,18,180
88,KPM/2025-26/0067,KRAFT PAPER NATURAL UPTO 150 GSM,18,130
89,KPM/2025-26/0068,KRAFT PAPER NATURAL 151-224,18,180
90,KPM/2025-26/0069,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
91,KPM/2025-26/0070,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
92,KPM/2025-26/0071,KRAFT PAPER NATURAL UPTO 150 GSM,24,150
93,KPM/2025-26/0071,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
94,KPM/2025-26/0072,KRAFT PAPER NATURAL UPTO 150 GSM,24,150
95,KPM/2025-26/0073,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
96,KPM/2025-26/0074,KRAFT PAPER GOLDEN YELLOW 151-224,20,180
97,KPM/2025-26/0074,KRAFT PAPER NATURAL 151-224,18,180
98,KPM/2025-26/0075,KRAFT PAPER NATURAL 151-224,18,180
99,KPM/2025-26/0076,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
100,KPM/2025-26/0077,KRAFT PAPER NATURAL 151-224,22,200
101,KPM/2025-26/0077,KRAFT PAPER NATURAL UPTO 150 GSM,22,140
102,KPM/2025-26/0078,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
103,KPM/2025-26/0079,KRAFT PAPER NATURAL 151-224,18,170
104,KPM/2025-26/0079,KRAFT PAPER NATURAL UPTO 150 GSM,18,120
105,KPM/2025-26/0080,KRAFT PAPER NATURAL UPTO 150 GSM,18,150
106,KPM/2025-26/0080,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150
107,KPM/2025-26/0081,KRAFT PAPER NATURAL UPTO 150 GSM,18,140
108,KPM/2025-26/0081,KRAFT PAPER NATURAL 151-224,18,170
