Invoice_Id,InvoiceNo,InvoiceDate,PtyName,ConName,Sites,Tax_Form,Godown,TotReels,TotWeight,Rate,Partycity,Concity,PtyGSTin,Transporter
1,KPM/2025-26/0001,2025-04-01,B.J. BHANDARI PAPERS PVT. LTD. - R,RAHUL PACKING,Local,C & SGST,PM3 GODOWN,3,1855,35.5,Pune,Ahmednagar,27AACCS3570J1Z6,PARTY TRANSPORT
2,KPM/2025-26/0002,2025-04-01,CASH SALES,CASH SALES,Local,C & SGST,STORE GODOWN,0,59.66,200,Aurangabad,Aurangabad,,PARTY TRANSPORT
3,KPM/2025-26/0003,2025-04-01,OM SAI PACKAGING-DR,OM SAI PACKAGING-DR,Local,C & SGST,PM3 GODOWN,29,10941,34.25,SHRIRAMPUR,SHRIRAMPUR,27AAFFO0227N1Z5,SHREE GURUKRUPA TRANSPORT-CRS
4,KPM/2025-26/0004,2025-04-01,OM SAI PACKAGING-DR,OM SAI PACKAGING-DR,Local,C & SGST,PM2 GODOWN,1,334,34.25,SHRIRAMPUR,SHRIRAMPUR,27AAFFO0227N1Z5,SHREE GURUKRUPA TRANSPORT-CRS
5,KPM/2025-26/0005,2025-04-01,KEDAR PAPER CONVERSION,UNICRATE PACKAGING PVT LTD,Local,IGST,PM3 GODOWN,26,25272,33.5,HYDERABAD.,TELANGANA,36ADFPK0203M1ZT,CENTRAL INDIA TRANSPORT AGENCY
6,KPM/2025-26/0006,2025-04-01,PACK PRINT AGENCIES,PACK PRINT AGENCIES,Local,C & SGST,PM3 GODOWN,16,8093,33,Mumbai,Mumbai,27AAVFP0915G1Z0,SANKAT MOCHAN ROADLINES
7,KPM/2025-26/0007,2025-04-01,PACK PRINT AGENCIES,PACK PRINT AGENCIES,Local,C & SGST,PM2 GODOWN,10,4901,33,Mumbai,Mumbai,27AAVFP0915G1Z0,SANKAT MOCHAN ROADLINES
8,KPM/2025-26/0008,2025-04-01,ALIGN COMPONENTS PVT. LTD.,ALIGN COMPONENTS PVT. LTD.,Local,C & SGST,PM3 GODOWN,13,14705,33,Pune,Pune,27AADCA9245P1Z3,KSH DISTRIPARKS PVT LTD
9,KPM/2025-26/0009,2025-04-01,ALIGN COMPONENTS PVT. LTD.,ALIGN COMPONENTS PVT. LTD.,Local,C & SGST,PM3 GODOWN,2,3525,32,Pune,Pune,27AADCA9245P1Z3,KSH DISTRIPARKS PVT LTD
10,KPM/2025-26/0010,2025-04-01,ALIGN COMPONENTS PVT. LTD.,ALIGN COMPONENTS PVT. LTD.,Local,C & SGST,PM3 GODOWN,5,6164,31,Pune,Pune,27AADCA9245P1Z3,KSH DISTRIPARKS PVT LTD
11,KPM/2025-26/0011,2025-04-01,ALIGN COMPONENTS PVT. LTD.,ALIGN COMPONENTS PVT. LTD.,Local,C & SGST,PM3 GODOWN,2,1317,32,Pune,Pune,27AADCA9245P1Z3,KSH DISTRIPARKS PVT LTD
12,KPM/2025-26/0012,2025-04-01,KEDAR PAPER CONVERSION,UNICRATE PACKAGING PVT LTD,Local,IGST,PM3 GODOWN,10,8485,31.5,HYDERABAD.,TELANGANA,36ADFPK0203M1ZT,CENTRAL INDIA TRANSPORT AGENCY
13,KPM/2025-26/0013,2025-04-02,KEDAR PAPER CONVERSION,UNICRATE PACKAGING PVT LTD,Local,IGST,PM3 GODOWN,17,16602,33.5,HYDERABAD.,TELANGANA,36ADFPK0203M1ZT,CENTRAL INDIA TRANSPORT AGENCY
14,KPM/2025-26/0014,2025-04-02,VEDANT PACKER PVT. LTD.,DBS Packaging Pvt Ltd-,Local,C & SGST,PM3 GODOWN,9,7886,33.75,Aurangabad,Pune,27AAACV7810J1Z6,KSH DISTRIPARKS PVT LTD
15,KPM/2025-26/0015,2025-04-02,VEDANT PACKER PVT. LTD.,DBS PACKAGING PVT LTD-VPPL,Local,C & SGST,PM3 GODOWN,18,17748,32.75,Aurangabad,Pune,27AAACV7810J1Z6,KSH DISTRIPARKS PVT LTD
16,KPM/2025-26/0016,2025-04-02,AKANKSHA PACKS - DR,AKANKSHA PACKS - DR,Local,C & SGST,PM2 GODOWN,4,2774,32.75,Aurangabad,Aurangabad,27AAIFA2472J1ZD,SANKAT MOCHAN ROADLINES
17,KPM/2025-26/0017,2025-04-02,AKANKSHA PACKS - DR,AKANKSHA PACKS - DR,Local,C & SGST,PM3 GODOWN,4,2938,34.25,Aurangabad,Aurangabad,27AAIFA2472J1ZD,SANKAT MOCHAN ROADLINES
18,KPM/2025-26/0018,2025-04-02,VEDANT PACKER PVT. LTD.,J N PACKAGING,Local,C & SGST,PM3 GODOWN,10,4358,33.75,Aurangabad,Aurangabad,27AAACV7810J1Z6,SANKAT MOCHAN ROADLINES
19,KPM/2025-26/0019,2025-04-02,VEDANT PACKER PVT. LTD.,J N PACKAGING,Local,C & SGST,PM3 GODOWN,1,396,33.75,Aurangabad,Aurangabad,27AAACV7810J1Z6,SANKAT MOCHAN ROADLINES
20,KPM/2025-26/0020,2025-04-02,SAI PAPERS,PRIYAM PACKAGING PVT.LTD.,Local,C & SGST,PM2 GODOWN,4,2710,33.5,Pune,Pune,27AAEFS0374D1ZF,KSH DISTRIPARKS PVT LTD
21,KPM/2025-26/0021,2025-04-02,SAI PAPERS,PRIYAM PACKAGING PVT.LTD.,Local,C & SGST,PM3 GODOWN,26,22376,33.5,Pune,Pune,27AAEFS0374D1ZF,KSH DISTRIPARKS PVT LTD
22,KPM/2025-26/0022,2025-04-02,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),Local,C & SGST,PM3 GODOWN,4,3499,35.25,Aurangabad,Aurangabad,27AADCA9245P1Z3,SANKAT MOCHAN ROADLINES
23,KPM/2025-26/0023,2025-04-02,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),Local,C & SGST,PM3 GODOWN,3,2708,32,Aurangabad,Aurangabad,27AADCA9245P1Z3,SANKAT MOCHAN ROADLINES
24,KPM/2025-26/0024,2025-04-02,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),Local,C & SGST,PM3 GODOWN,6,5720,34,Aurangabad,Aurangabad,27AADCA9245P1Z3,SANKAT MOCHAN ROADLINES
25,KPM/2025-26/0025,2025-04-02,SHRINIWAS ENTERPRISES,PAACK IN INDIA - SE,Local,C & SGST,PM3 GODOWN,6,4584,32.25,Mumbai,Pune,27AAAFS0458E1ZG,PARTY TRANSPORT
26,KPM/2025-26/0026,2025-04-02,SHRINIWAS ENTERPRISES,PAACK IN INDIA - SE,Local,C & SGST,PM2 GODOWN,2,1187,31.25,Mumbai,Pune,27AAAFS0458E1ZG,PARTY TRANSPORT
27,KPM/2025-26/0027,2025-04-02,AKANKSHA PACKS - DR,AKANKSHA PACKS - DR,Local,C & SGST,PM3 GODOWN,2,1505,32.75,Aurangabad,Aurangabad,27AAIFA2472J1ZD,PARTY TRANSPORT
28,KPM/2025-26/0028,2025-04-02,CONTINENTAL TRADE CORPORATION,GOPALA KRAFT PACK PVT LTD. - CTC,Local,C & SGST,PM2 GODOWN,11,7654,32.65,Mumbai,Pune,27AAAHM0986P1ZM,PARTY TRANSPORT
29,KPM/2025-26/0029,2025-04-02,KEDAR PAPER CONVERSION,UNICRATE PACKAGING PVT LTD,Local,IGST,PM3 GODOWN,21,20442,33.5,HYDERABAD.,TELANGANA,36ADFPK0203M1ZT,SANKAT MOCHAN ROADLINES
30,KPM/2025-26/0030,2025-04-02,YASH COMMERCIALS,BHAGWATI PACKAGING,Local,C & SGST,PM2 GODOWN,42,27664,34.25,Nagpur,Raipur,27AAAHL8033N1ZX,DATTA ROADLINES
31,KPM/2025-26/0031,2025-04-02,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),Local,C & SGST,PM3 GODOWN,10,9619,35.25,Aurangabad,Aurangabad,27AADCA9245P1Z3,SHREE GURUKRUPA TRANSPORT-
32,KPM/2025-26/0032,2025-04-03,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),Local,C & SGST,PM3 GODOWN,6,6261,32,Aurangabad,Aurangabad,27AADCA9245P1Z3,SHREE GURUKRUPA TRANSPORT-
